3.000,-1.500,0.000,-10
3.020,-1.499,0.047,-10
3.040,-1.497,0.094,-10
3.060,-1.493,0.141,-10
3.080,-1.488,0.188,-10
3.100,-1.482,0.235,-10
3.120,-1.473,0.281,-10
3.140,-1.464,0.327,-10
3.160,-1.453,0.373,-10
3.180,-1.440,0.418,-10
3.200,-1.427,0.464,-10
3.220,-1.411,0.508,-10
3.240,-1.395,0.552,-10
3.260,-1.377,0.596,-10
3.280,-1.357,0.639,-10
3.300,-1.337,0.681,-10
3.320,-1.314,0.723,-10
3.340,-1.291,0.764,-10
3.360,-1.266,0.804,-10
3.380,-1.241,0.843,-10
3.400,-1.214,0.882,-10
3.420,-1.185,0.919,-10
3.440,-1.156,0.956,-10
3.460,-1.125,0.992,-10
3.480,-1.093,1.027,-10
3.500,-1.061,1.061,-10
3.520,-1.027,1.093,-10
3.540,-0.992,1.125,-10
3.560,-0.956,1.156,-10
3.580,-0.919,1.185,-10
3.600,-0.882,1.214,-10
3.620,-0.843,1.241,-10
3.640,-0.804,1.266,-10
3.660,-0.764,1.291,-10
3.680,-0.723,1.314,-10
3.700,-0.681,1.337,-10
3.720,-0.639,1.357,-10
3.740,-0.596,1.377,-10
3.760,-0.552,1.395,-10
3.780,-0.508,1.411,-10
3.800,-0.464,1.427,-10
3.820,-0.418,1.440,-10
3.840,-0.373,1.453,-10
3.860,-0.327,1.464,-10
3.880,-0.281,1.473,-10
3.900,-0.235,1.482,-10
3.920,-0.188,1.488,-10
3.940,-0.141,1.493,-10
3.960,-0.094,1.497,-10
3.980,-0.047,1.499,-10
